server_mtu,peer_mtu,upload_rcv_mbps,upload_send_mbps,download_rcv_mbps,download_send_mbps
1280,1280,20.737,21.706,357.680,361.111
1280,1290,14.765,14.975,452.098,454.813
1280,1300,23.878,25.598,441.084,443.618
1280,1310,24.075,26.939,347.185,351.830
1280,1320,22.004,23.316,427.644,431.565
1280,1330,17.544,18.535,358.896,362.756
1280,1340,28.138,28.864,454.672,459.084
1280,1350,32.121,35.410,422.873,427.440
1280,1360,21.791,22.495,357.659,361.045
1280,1370,23.719,24.942,385.588,389.351
1280,1380,21.030,22.956,383.594,388.121
1280,1390,26.248,27.473,386.102,390.638
1280,1400,23.327,24.402,362.564,365.865
1280,1410,16.620,18.005,214.110,216.537
1280,1420,20.246,21.264,374.027,377.710
1280,1430,19.317,20.879,401.521,404.392
1280,1440,22.405,23.765,461.278,464.945
1280,1450,22.616,23.532,371.722,375.896
1280,1460,30.835,31.758,402.537,405.522
1280,1470,21.576,23.630,401.294,403.768
1280,1480,19.692,21.963,422.196,424.874
1280,1490,23.925,25.043,445.973,449.313
1280,1500,19.811,21.244,347.357,350.900
1290,1280,35.771,36.419,359.940,363.446
1290,1290,14.878,15.232,348.246,352.510
1290,1300,20.231,23.871,373.139,376.295
1290,1310,19.999,21.902,370.460,374.907
1290,1320,29.591,31.197,391.984,395.072
1290,1330,18.162,19.165,442.891,446.690
1290,1340,15.905,16.341,440.876,444.084
1290,1350,37.672,41.055,398.939,402.280
1290,1360,24.898,25.466,432.273,436.181
1290,1370,23.111,23.450,395.508,398.189
1290,1380,32.917,34.623,456.721,460.339
1290,1390,21.104,21.620,391.805,396.177
1290,1400,19.260,20.488,382.249,387.130
1290,1410,18.015,19.383,319.812,322.884
1290,1420,15.490,15.991,360.272,363.151
1290,1430,15.413,17.090,317.617,320.606
1290,1440,14.045,14.497,371.438,376.006
1290,1450,20.657,22.855,374.898,379.608
1290,1460,14.877,15.531,368.144,371.331
1290,1470,20.951,22.841,386.190,390.560
1290,1480,18.031,19.109,371.938,375.809
1290,1490,10.701,11.142,344.828,347.840
1290,1500,11.389,11.762,349.931,354.006
1300,1280,13.912,14.242,368.976,372.335
1300,1290,16.644,17.094,378.847,382.403
1300,1300,14.438,15.614,370.253,374.128
1300,1310,18.677,20.098,454.495,457.000
1300,1320,17.009,17.821,493.933,498.110
1300,1330,17.590,19.050,395.682,400.577
1300,1340,16.146,16.976,346.854,350.555
1300,1350,11.636,12.014,378.019,380.927
1300,1360,13.592,13.829,436.955,441.551
1300,1370,17.050,17.547,463.782,467.986
1300,1380,19.308,20.228,384.729,387.436
1300,1390,17.105,18.469,351.818,356.274
1300,1400,18.335,19.690,400.307,404.786
1300,1410,20.246,21.018,477.726,480.120
1300,1420,21.012,21.693,384.489,388.038
1300,1430,17.447,18.867,475.123,477.586
1300,1440,19.544,20.909,375.938,379.178
1300,1450,20.206,21.519,371.267,374.434
1300,1460,13.834,14.221,454.383,457.228
1300,1470,23.662,25.031,377.847,381.450
1300,1480,21.179,22.387,407.507,411.387
1300,1490,22.752,24.140,464.428,468.342
1300,1500,20.137,21.153,407.764,410.721
1310,1280,24.554,25.418,450.094,453.958
1310,1290,32.799,34.445,334.064,338.373
1310,1300,18.880,19.592,450.908,453.416
1310,1310,20.892,21.180,455.059,458.640
1310,1320,11.837,12.268,391.793,394.896
1310,1330,21.693,22.963,398.557,403.305
1310,1340,15.346,15.806,376.985,380.019
1310,1350,10.285,10.521,359.544,363.674
1310,1360,16.308,17.094,436.644,440.071
1310,1370,20.998,21.963,395.040,397.771
1310,1380,25.056,26.647,356.214,360.911
1310,1390,21.321,22.030,363.237,367.955
1310,1400,20.981,21.657,393.627,396.955
1310,1410,20.216,21.856,366.811,370.610
1310,1420,21.114,22.476,358.938,362.589
1310,1430,25.139,27.542,409.005,412.270
1310,1440,23.208,24.030,422.830,427.122
1310,1450,16.493,17.245,429.245,433.080
1310,1460,21.970,23.217,472.925,476.874
1310,1470,16.617,16.947,395.209,397.926
1310,1480,25.573,27.158,389.331,394.088
1310,1490,16.971,17.310,348.305,352.080
1310,1500,20.932,22.227,240.437,245.590
1320,1280,22.555,23.129,347.619,350.488
1320,1290,17.876,18.358,453.234,457.504
1320,1300,21.877,22.309,392.929,396.702
1320,1310,11.208,11.362,463.303,465.583
1320,1320,26.435,27.986,374.603,377.338
1320,1330,21.705,23.432,390.230,393.351
1320,1340,19.203,20.336,416.539,421.234
1320,1350,21.474,22.404,422.342,426.601
1320,1360,19.118,19.786,370.611,375.007
1320,1370,19.497,20.164,359.026,363.846
1320,1380,24.963,25.694,490.747,494.928
1320,1390,23.934,24.712,400.657,404.155
1320,1400,13.130,13.527,380.067,383.977
1320,1410,19.924,20.442,366.813,371.311
1320,1420,23.818,26.556,469.225,473.164
1320,1430,22.512,24.571,406.034,408.337
1320,1440,19.834,21.557,422.145,426.182
1320,1450,16.514,16.869,398.187,402.474
1320,1460,26.042,28.406,370.707,373.627
1320,1470,20.684,21.048,396.256,399.315
1320,1480,21.472,22.134,386.412,389.312
1320,1490,25.173,26.481,375.125,378.413
1320,1500,18.153,18.715,374.005,378.667
1330,1280,20.093,20.868,403.183,407.583
1330,1290,14.580,15.093,344.065,348.965
1330,1300,36.932,39.153,421.392,425.640
1330,1310,24.103,25.515,427.476,430.501
1330,1320,27.390,28.713,482.112,485.813
1330,1330,26.995,28.842,344.585,348.289
1330,1340,16.882,17.327,405.615,409.948
